outfit_id,category,link,color_chip_id
169,1,http://www.uniqlo.com/tw/store/goods/402763,68
170,0,http://www.uniqlo.com/tw/store/goods/400510,33
170,-1,http://www.uniqlo.com/tw/store/goods/402128,69
171,0,http://www.uniqlo.com/tw/store/goods/400493,16
171,0,http://www.uniqlo.com/tw/store/goods/400504,09
171,0,http://www.uniqlo.com/tw/store/goods/401843,15
171,-1,http://www.uniqlo.com/tw/store/goods/400042,03
172,0,http://www.uniqlo.com/tw/store/goods/403138,09
172,0,http://www.uniqlo.com/tw/store/goods/400510,28
172,0,http://www.uniqlo.com/tw/store/goods/400327,00
173,0,http://www.uniqlo.com/tw/store/goods/400518,09
174,2,http://www.uniqlo.com/tw/store/goods/400711,21
174,2,http://www.uniqlo.com/tw/store/goods/400171,06
174,2,http://www.uniqlo.com/tw/store/goods/400347,03
174,3,http://www.uniqlo.com/tw/store/goods/400551,01
174,-1,http://www.uniqlo.com/tw/store/goods/400044,03
175,0,http://www.uniqlo.com/tw/store/goods/401447,58
175,0,http://www.uniqlo.com/tw/store/goods/400635,28
175,0,http://www.uniqlo.com/tw/store/goods/400624,00
175,1,http://www.uniqlo.com/tw/store/goods/400132,65
176,0,http://www.uniqlo.com/tw/store/goods/400339,17
176,1,http://www.uniqlo.com/tw/store/goods/400132,65
177,0,http://www.uniqlo.com/tw/store/goods/403912,00
178,0,http://www.uniqlo.com/tw/store/goods/401382,09
178,0,http://www.uniqlo.com/tw/store/goods/402518,08
179,0,http://www.uniqlo.com/tw/store/goods/403134,37
179,0,http://www.uniqlo.com/tw/store/goods/400330,69
179,0,http://www.uniqlo.com/tw/store/goods/401283,57
179,1,http://www.uniqlo.com/tw/store/goods/192565,69
180,0,http://www.uniqlo.com/tw/store/goods/403134,69
180,0,http://www.uniqlo.com/tw/store/goods/400623,25
181,0,http://www.uniqlo.com/tw/store/goods/400506,56
181,0,http://www.uniqlo.com/tw/store/goods/400643,18
182,0,http://www.uniqlo.com/tw/store/goods/400502,02
182,-1,http://www.uniqlo.com/tw/store/goods/404876,63
183,0,http://www.uniqlo.com/tw/store/goods/401449,36
183,0,http://www.uniqlo.com/tw/store/goods/402518,18
183,0,http://www.uniqlo.com/tw/store/goods/400325,00
184,0,http://www.uniqlo.com/tw/store/goods/402828,34
184,0,http://www.uniqlo.com/tw/store/goods/403065,08
184,1,http://www.uniqlo.com/tw/store/goods/401450,58
185,1,http://www.uniqlo.com/tw/store/goods/400483,69
185,0,http://www.uniqlo.com/tw/store/goods/400512,69
186,0,http://www.uniqlo.com/tw/store/goods/403138,01
186,0,http://www.uniqlo.com/tw/store/goods/401848,25
186,0,http://www.uniqlo.com/tw/store/goods/400325,04
187,0,http://www.uniqlo.com/tw/store/goods/400511,16
187,0,http://www.uniqlo.com/tw/store/goods/403138,33
187,0,http://www.uniqlo.com/tw/store/goods/400328,00
188,0,http://www.uniqlo.com/tw/store/goods/404377,68
189,0,http://www.uniqlo.com/tw/store/goods/400226,00
189,0,http://www.uniqlo.com/tw/store/goods/400330,03
189,1,http://www.uniqlo.com/tw/store/goods/402727,69
190,0,http://www.uniqlo.com/tw/store/goods/400325,69
191,0,http://www.uniqlo.com/tw/store/goods/400512,07
191,0,http://www.uniqlo.com/tw/store/goods/400647,05
191,0,http://www.uniqlo.com/tw/store/goods/402925,05
192,0,http://www.uniqlo.com/tw/store/goods/400339,03
193,0,http://www.uniqlo.com/tw/store/goods/401386,08
193,0,http://www.uniqlo.com/tw/store/goods/400648,32
193,0,http://www.uniqlo.com/tw/store/goods/400659,63
194,0,http://www.uniqlo.com/tw/store/goods/400495,68
194,0,http://www.uniqlo.com/tw/store/goods/400644,33
194,1,http://www.uniqlo.com/tw/store/goods/401317,09
195,0,http://www.uniqlo.com/tw/store/goods/400625,69
195,1,http://www.uniqlo.com/tw/store/goods/192565,69
196,0,http://www.uniqlo.com/tw/store/goods/401447,35
196,0,http://www.uniqlo.com/tw/store/goods/400500,19
196,0,http://www.uniqlo.com/tw/store/goods/400324,34
197,0,http://www.uniqlo.com/tw/store/goods/404362,03
197,1,http://www.uniqlo.com/tw/store/goods/404166,09
197,-1,http://www.uniqlo.com/tw/store/goods/404876,68
197,-1,http://www.uniqlo.com/tw/store/goods/400046,09
198,0,http://www.uniqlo.com/tw/store/goods/400644,33
199,0,http://www.uniqlo.com/tw/store/goods/401848,25
200,0,http://www.uniqlo.com/tw/store/goods/401742,57
200,0,http://www.uniqlo.com/tw/store/goods/400647,05
200,0,http://www.uniqlo.com/tw/store/goods/400328,00
200,1,http://www.uniqlo.com/tw/store/goods/400483,32
201,0,http://www.uniqlo.com/tw/store/goods/400511,66
201,0,http://www.uniqlo.com/tw/store/goods/403138,01
201,1,http://www.uniqlo.com/tw/store/goods/400132,65
202,-1,http://www.uniqlo.com/tw/store/goods/400051,05
203,0,http://www.uniqlo.com/tw/store/goods/400320,56
203,0,http://www.uniqlo.com/tw/store/goods/403856,03
203,-1,http://www.uniqlo.com/tw/store/goods/401673,08
204,0,http://www.uniqlo.com/tw/store/goods/402925,56
204,1,http://www.uniqlo.com/tw/store/goods/401876,68
205,0,http://www.uniqlo.com/tw/store/goods/402735,08
206,2,http://www.uniqlo.com/tw/store/goods/405200,60
207,0,http://www.uniqlo.com/tw/store/goods/400518,69
207,0,http://www.uniqlo.com/tw/store/goods/400648,32
207,-1,http://www.uniqlo.com/tw/store/goods/402805,57
208,0,http://www.uniqlo.com/tw/store/goods/401386,69
209,0,http://www.uniqlo.com/tw/store/goods/400337,57
209,0,http://www.uniqlo.com/tw/store/goods/400221,02
210,1,http://www.uniqlo.com/tw/store/goods/400135,34
210,0,http://www.uniqlo.com/tw/store/goods/400647,18
211,0,http://www.uniqlo.com/tw/store/goods/402841,69
211,-1,http://www.uniqlo.com/tw/store/goods/400050,08
212,0,http://www.uniqlo.com/tw/store/goods/403138,01
