product_id,rgb hex,ryb hex,percentage of clothes,hue_level
563,#FCFCFC,#fcfcfc,100.0,13
564,#FCFCFC,#fcfcfc,100.0,13
565,#000000,#000000,100.0,13
566,#FCFCFC,#fcfcfc,100.0,13
567,#EFDED7,#efe0d7,100.0,2
568,#000000,#000000,100.0,13
569,#FCFCFC,#fcfcfc,100.0,13
570,#BEC0BB,#bbc0bd,100.0,13
571,#000000,#000000,100.0,13
572,#FCFCFC,#fcfcfc,100.0,13
573,#202123,#202023,100.0,13
574,#787A75,#757a77,98.7,13
575,#000000,#000000,100.0,13
576,#E3DCCB,#d4e3cb,99.3,4
577,#A0A298,#98a29a,35.4,13
578,#A5A79C,#9ca79e,7.0,13
579,#FCFCFC,#fcfcfc,100.0,13
580,#F0E7A6,#b0f0a6,100.0,4
581,#BCBEB3,#b3beb5,97.8,13
582,#FCFCFC,#fcfcfc,100.0,13
583,#F8F8F6,#f6f8f6,100.0,13
584,#FCFCFC,#fcfcfc,100.0,13
585,#BEBFB6,#b6bfb7,98.9,13
586,#F8F8F6,#f6f8f6,100.0,13
587,#FCFCFC,#fcfcfc,100.0,13
588,#FCFCFC,#fcfcfc,100.0,13
589,#353A34,#343a39,100.0,6
590,#BEBFB6,#b6bfb7,98.9,13
591,#F8F8F6,#f6f8f6,100.0,13
592,#A73F3E,#a73f3e,100.0,1
593,#000000,#000000,100.0,13
594,#F7BFB0,#f7c3b0,100.0,2
595,#4D586E,#4d556e,100.0,10
596,#BEC0BD,#bdc0bf,15.9,13
597,#41462F,#2f4634,100.0,5
598,#FCFCFC,#fcfcfc,100.0,13
599,#72716E,#6f726e,9.4,13
600,#6989A0,#697da0,100.0,9
601,#C1C2BC,#bcc2bd,96.5,13
602,#FCFCFC,#fcfcfc,100.0,13
603,#BEC0B6,#b6c0b8,99.6,13
604,#747673,#737675,16.7,13
605,#A83F3C,#a83f3c,100.0,1
606,#BEC0B6,#b6c0b8,99.6,13
607,#5C8692,#5c7392,100.0,9
608,#BEC0B6,#b6c0b8,99.6,13
609,#71736E,#6e7370,100.0,13
610,#BAD9D1,#bacbd9,100.0,8
611,#FCFCFC,#fcfcfc,100.0,13
612,#F5DFD2,#f5e6d2,100.0,2
613,#BEC0B6,#b6c0b8,99.6,13
614,#F3DDD0,#f3e4d0,100.0,2
615,#FCFCFC,#fcfcfc,100.0,13
616,#FCFCFC,#fcfcfc,100.0,13
617,#C1C2BC,#bcc2bd,96.5,13
618,#C5E0D9,#c5d4e0,100.0,8
619,#BEC0B6,#b6c0b8,99.6,13
620,#E5DFCE,#d6e5ce,100.0,4
621,#FAFAFA,#fafafa,100.0,13
